Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-10,Okaloosa,68.38749999999999,72.13,0.0007,0.0023,0.08189999999999999,72,71.46,69.3,76.96,191146.0
2020-03-11,Okaloosa,69.80833333333334,75.54,0.0004,0.0018,0.0801,73,72.13,66.32,72.71,191146.0
2020-03-12,Okaloosa,71.17083333333333,78.81,0.0018,0.0029,0.0269,74,75.54,69.83,67.77,191146.0
2020-03-13,Okaloosa,71.02083333333333,78.45,0.0003,0.0025,0.0058000000000000005,75,78.81,71.46,69.3,191146.0
2020-03-14,Okaloosa,71.6875,80.05,0.003,0.0051,0.0078,76,78.45,72.13,66.32,191146.0
2020-03-15,Okaloosa,72.49166666666667,81.98,0.0002,0.0035,0.0071,77,80.05,75.54,69.83,191146.0
2020-03-16,Okaloosa,72.25416666666666,81.41,0.0001,0.0033,0.006500000000000001,78,81.98,78.81,71.46,191146.0
2020-03-09,Palm Beach,69.67916666666666,75.23,0.0007,0.0042,0.0087,71,73.02,92.45,78.69,1509077.0
2020-03-10,Palm Beach,70.975,78.34,0.0016,0.0034,0.0092,72,75.23,80.63,84.91,1509077.0
2020-03-11,Palm Beach,71.97083333333333,80.73,0.0021,0.0044,0.0095,73,78.34,71.66,90.67,1509077.0
2020-03-12,Palm Beach,72.86666666666666,82.88,0.0012,0.0049,0.0101,74,80.73,73.02,92.45,1509077.0
2020-03-13,Palm Beach,73.88333333333333,85.32,0.0017,0.004999999999999999,0.0108,75,82.88,75.23,80.63,1509077.0
2020-03-14,Palm Beach,74.10833333333332,85.86,0.0001,0.003,0.0085,76,85.32,78.34,71.66,1509077.0
2020-03-15,Palm Beach,74.24166666666667,86.18,0.0004,0.0022,0.0078,77,85.86,80.73,73.02,1509077.0
2020-03-16,Palm Beach,74.42083333333332,86.61,0.0001,0.0006000000000000001,0.007199999999999998,78,86.18,82.88,75.23,1509077.0
2020-03-09,Pasco,70.42083333333333,77.01,0.0006,0.0035,0.0081,71,73.77,85.86,78.51,584626.0
